,temperature,precipitation_sum,density_cells/ml
279,27.364516129032257,5.699999999999999,0.0
199,16.603225806451615,5.680645161290323,0.0
466,23.756666666666668,2.5866666666666664,0.0
556,24.98333333333333,1.7233333333333334,0.0
724,21.56,1.8033333333333332,0.0
501,20.4741935483871,4.929032258064517,0.0
462,24.738709677419354,3.293548387096774,0.0
404,24.248387096774195,4.551612903225807,6804.407303030303
261,25.887096774193548,1.0870967741935484,2736.299591408877
447,15.774193548387096,4.867741935483871,0.0
111,23.58,1.41,254.55229340538935
594,25.55806451612903,3.758064516129033,10780.524846679722
457,20.64333333333333,6.496666666666667,257893.6712033982
432,24.95483870967742,1.467741935483871,0.0
359,18.55161290322581,2.7806451612903227,0.0
573,18.31290322580645,4.793548387096774,0.0
561,18.048387096774192,3.893548387096774,0.0
312,12.193548387096774,2.0,0.0
107,21.04516129032258,1.4516129032258065,0.0
600,25.236666666666668,2.86,0.0
737,14.819354838709677,0.5225806451612903,0.0
442,22.30666666666667,1.8766666666666667,0.0
593,24.161290322580644,2.954838709677419,72397.41807238667
197,24.741935483870968,1.9774193548387096,0.0
524,15.36774193548387,2.6129032258064515,0.0
68,23.15806451612903,3.9129032258064513,0.0
616,15.51290322580645,3.454838709677419,0.0
482,14.606451612903228,1.0064516129032255,0.0
613,25.91935483870968,4.17741935483871,0.0
187,24.68064516129032,2.6516129032258067,0.0
386,24.067741935483877,1.5903225806451613,874.9702258064516
299,20.74,5.17,254853.3244818935
281,16.574193548387097,0.9451612903225808,0.0
282,26.97741935483871,0.9741935483870968,19934.46689314285
194,20.80967741935484,4.003225806451613,0.0
684,13.33548387096774,5.225806451612903,0.0
521,27.94193548387097,0.8387096774193549,6.254615384615385
224,22.973333333333336,2.67,5.325
587,27.151612903225807,3.596774193548387,0.0
51,19.96,1.8033333333333332,0.0
713,11.829032258064515,3.570967741935484,0.0
242,23.456666666666667,2.043333333333333,540.5136461744444
75,19.97,1.4800000000000002,0.0
219,25.39354838709677,1.6935483870967742,0.0
222,16.983870967741936,0.3032258064516128,0.0
568,25.32,1.7366666666666668,0.0
626,23.01935483870968,1.474193548387097,0.0
423,12.651612903225804,1.0,0.0
480,22.53548387096774,2.383870967741936,721.3877539359817
4,19.916666666666668,5.473333333333333,0.0
590,16.61935483870968,0.7483870967741936,0.0
510,23.796774193548387,2.616129032258064,0.0
248,25.05,1.5666666666666669,0.0
15,23.835483870967742,3.141935483870968,0.0
494,15.629032258064516,2.864516129032258,0.0
572,18.30322580645161,4.716129032258064,0.0
56,24.429032258064517,1.2967741935483872,0.0
348,15.7,8.493548387096775,0.0
433,24.870967741935484,1.4161290322580644,0.0
34,19.386666666666667,1.836666666666667,0.0
479,25.216129032258067,5.006451612903225,1257.0648624809876
170,21.84333333333333,1.7966666666666666,0.0
