,m_avg_deep_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,type_enc,strat_enc
279,22.758333333333336,0.118125,27.364516129032257,5.699999999999999,0,0
199,14.572093023255814,4.832558139534884,16.603225806451615,5.680645161290323,0,0
466,13.93235294117647,2.92156862745098,23.756666666666668,2.5866666666666664,0,1
556,12.913541666666667,0.5498958333333334,24.98333333333333,1.7233333333333334,0,1
724,22.1,1.7813953488372092,21.56,1.8033333333333332,2,2
501,11.55,5.486363636363636,20.4741935483871,4.929032258064517,0,1
462,17.3044776119403,0.0731343283582089,24.738709677419354,3.293548387096774,0,1
404,23.76315789473684,1.2984210526315791,24.248387096774195,4.551612903225807,0,2
261,16.98157894736842,0.5,25.887096774193548,1.0870967741935484,0,0
447,16.563636363636363,6.1890909090909085,15.774193548387096,4.867741935483871,0,2
111,23.40714285714285,2.021428571428572,23.58,1.41,1,0
594,17.4375,0.47125,25.55806451612903,3.758064516129033,0,1
457,21.89631578947368,2.147368421052632,20.64333333333333,6.496666666666667,0,2
432,24.308000000000003,0.2603999999999999,24.95483870967742,1.467741935483871,0,2
359,16.688888888888886,1.2333333333333334,18.55161290322581,2.7806451612903227,0,2
573,14.8453125,4.80625,18.31290322580645,4.793548387096774,0,1
561,11.486301369863014,3.996986301369863,18.048387096774192,3.893548387096774,0,1
312,15.213333333333336,6.926666666666667,12.193548387096774,2.0,0,2
107,17.215384615384615,4.913846153846154,21.04516129032258,1.4516129032258065,1,0
600,16.546666666666667,2.9746666666666663,25.236666666666668,2.86,0,1
737,16.8,1.7813953488372092,14.819354838709677,0.5225806451612903,2,2
442,20.05,0.19,22.30666666666667,1.8766666666666667,0,2
593,20.491666666666667,0.2566666666666666,24.161290322580644,2.954838709677419,0,1
197,22.32894736842105,1.0447368421052632,24.741935483870968,1.9774193548387096,0,0
524,13.215151515151517,2.396969696969697,15.36774193548387,2.6129032258064515,0,1
68,22.30555555555556,0.0722222222222222,23.15806451612903,3.9129032258064513,1,0
616,20.945454545454545,2.8786363636363634,15.51290322580645,3.454838709677419,0,1
482,18.114285714285717,1.0936507936507938,14.606451612903228,1.0064516129032255,0,1
613,22.063333333333333,0.5666666666666667,25.91935483870968,4.17741935483871,0,1
187,21.95555555555556,0.51,24.68064516129032,2.6516129032258067,0,0
386,25.745833333333334,6.4125000000000005,24.067741935483877,1.5903225806451613,0,2
299,22.51434782608696,0.8360869565217391,20.74,5.17,0,0
281,20.83870967741936,2.2838709677419358,16.574193548387097,0.9451612903225808,0,0
282,21.2,0.009090909090909,26.97741935483871,0.9741935483870968,0,0
194,15.835294117647058,7.785294117647059,20.80967741935484,4.003225806451613,0,0
684,11.6,1.7813953488372092,13.33548387096774,5.225806451612903,2,2
521,11.603225806451611,1.281720430107527,27.94193548387097,0.8387096774193549,0,1
224,15.265,1.4200000000000002,22.973333333333336,2.67,0,0
587,18.3859375,0.2703125,27.151612903225807,3.596774193548387,0,1
51,22.38918918918919,0.8054054054054054,19.96,1.8033333333333332,1,0
713,12.466666666666669,1.7813953488372092,11.829032258064515,3.570967741935484,2,2
242,18.32878787878788,0.2984848484848484,23.456666666666667,2.043333333333333,0,0
75,22.5625,1.51875,19.97,1.4800000000000002,1,0
219,19.648275862068964,0.9396551724137931,25.39354838709677,1.6935483870967742,0,0
222,19.522641509433964,2.060377358490566,16.983870967741936,0.3032258064516128,0,0
568,12.396,2.2038666666666664,25.32,1.7366666666666668,0,1
626,19.223809523809525,1.7813953488372092,23.01935483870968,1.474193548387097,2,2
423,17.52,5.511333333333334,12.651612903225804,1.0,0,2
480,19.90875,0.1425,22.53548387096774,2.383870967741936,0,1
4,22.703333333333333,1.96,19.916666666666668,5.473333333333333,1,0
590,18.1,2.580769230769231,16.61935483870968,0.7483870967741936,0,1
510,13.305882352941175,0.7808823529411765,23.796774193548387,2.616129032258064,0,1
248,15.541509433962265,0.3622641509433962,25.05,1.5666666666666669,0,0
15,25.348148148148148,0.5481481481481482,23.835483870967742,3.141935483870968,1,0
494,13.454666666666666,1.846666666666667,15.629032258064516,2.864516129032258,0,1
572,15.4046875,1.54859375,18.30322580645161,4.716129032258064,0,1
56,22.80555555555556,0.0111111111111111,24.429032258064517,1.2967741935483872,1,0
348,14.866666666666667,12.52,15.7,8.493548387096775,0,2
433,25.664,1.4552,24.870967741935484,1.4161290322580644,0,2
34,23.173333333333336,1.2466666666666666,19.386666666666667,1.836666666666667,1,0
479,17.5265625,0.1171875,25.216129032258067,5.006451612903225,0,1
170,19.990384615384617,1.7813953488372092,21.84333333333333,1.7966666666666666,0,0
714,16.15,1.7813953488372092,19.625806451612902,1.219354838709677,2,2
186,20.09090909090909,0.5545454545454546,24.84193548387097,5.84516129032258,0,0
463,17.867164179104478,0.4716417910447761,20.74333333333333,4.0633333333333335,0,1
85,21.184615384615384,2.0923076923076924,23.358064516129037,4.354838709677419,1,0
628,19.223809523809525,1.7813953488372092,13.425806451612903,3.167741935483871,2,2
451,20.175,2.305,18.89,2.1266666666666665,0,2
604,21.93,0.9966666666666666,18.983870967741936,0.4419354838709677,0,1
115,20.442857142857143,2.2264285714285714,25.041935483870965,3.716129032258064,1,0
757,19.700000000000003,2.115,19.703333333333333,2.05,2,2
189,18.269565217391303,0.7565217391304347,23.33,3.333333333333333,0,0
116,23.607692307692307,1.6623076923076925,23.91935483870968,3.0903225806451613,1,0
538,15.822727272727272,0.9669696969696968,24.58,2.68,0,1
532,11.567123287671231,2.242465753424657,22.94,2.31,0,1
57,24.753846153846155,0.0384615384615384,23.636666666666667,1.1,1,0
360,20.824,2.948,21.006666666666668,5.763333333333334,0,2
424,17.44,6.58,16.59032258064516,3.803225806451613,0,2
710,21.7,1.7813953488372092,24.93548387096774,2.841935483870968,2,2
745,22.4,1.7813953488372092,21.07333333333333,1.85,2,2
461,15.16904761904762,0.4845238095238094,25.061290322580643,5.016129032258065,0,1
517,14.3671875,1.0078125,24.82333333333333,1.3066666666666669,0,1
560,18.389655172413796,1.3741379310344828,16.261290322580646,0.2580645161290322,0,1
125,14.692,5.796,20.37741935483871,3.5870967741935487,1,0
